Current Time (ns), Interval (ns)
1780070274588720151, 1155619
1780070274589573175, 853024
1780070274590570879, 997704
1780070274591570277, 999398
1780070274592563673, 993396
1780070274593572879, 1009206
1780070274594575529, 1002650
1780070274595571042, 995513
1780070274596574067, 1003025
1780070274597609732, 1035665
1780070274598567211, 957479
1780070274599563523, 996312
1780070274600562967, 999444
1780070274601562094, 999127
1780070274602559819, 997725
1780070274603564035, 1004216
1780070274604566599, 1002564
1780070274605565906, 999307
1780070274606566565, 1000659
1780070274607565993, 999428
1780070274608566653, 1000660
1780070274609565840, 999187
1780070274610567712, 1001872
1780070274611567460, 999748
1780070274612567028, 999568
1780070274613566666, 999638
1780070274614566284, 999618
1780070274615565771, 999487
1780070274616563766, 997995
1780070274617561483, 997717
1780070274618579806, 1018323
1780070274619717462, 1137656
1780070274620575676, 858214
1780070274621662597, 1086921
1780070274622607602, 945005
1780070274623573187, 965585
1780070274624571623, 998436
1780070274625601978, 1030355
1780070274626574953, 972975
1780070274627571054, 996101
1780070274629573316, 2002262
1780070274630576861, 1003545
1780070274631573403, 996542
1780070274632585755, 1012352
1780070274633571126, 985371
1780070274634577236, 1006110
1780070274635575982, 998746
1780070274636572554, 996572
1780070274637575058, 1002504
1780070274638575096, 1000038
1780070274639573913, 998817
1780070274640570885, 996972
1780070274641574280, 1003395
1780070274642567346, 993066
1780070274643562939, 995593
1780070274644562627, 999688
1780070274645562045, 999418
1780070274646564788, 1002743
1780070274647565779, 1000991
1780070274648564736, 998957
1780070274649565365, 1000629
1780070274650564703, 999338
1780070274651564301, 999598
1780070274652564389, 1000088
1780070274653564879, 1000490
1780070274654564887, 1000008
1780070274655564866, 999979
1780070274656564724, 999858
1780070274657565655, 1000931
1780070274658564301, 998646
1780070274659564479, 1000178
1780070274660564338, 999859
1780070274661566150, 1001812
1780070274662565397, 999247
1780070274663564935, 999538
1780070274664564994, 1000059
1780070274665565203, 1000209
1780070274666564730, 999527
1780070274667565059, 1000329
1780070274668564717, 999658
1780070274669564616, 999899
1780070274670567410, 1002794
1780070274671568320, 1000910
1780070274672566996, 998676
1780070274673567225, 1000229
1780070274674567364, 1000139
1780070274675567392, 1000028
1780070274676567020, 999628
1780070274677567309, 1000289
1780070274678567278, 999969
1780070274679567487, 1000209
1780070274680566771, 999284
1780070274681568363, 1001592
1780070274682566688, 998325
1780070274683567108, 1000420
1780070274684567417, 1000309
1780070274685566884, 999467
1780070274686566953, 1000069
1780070274687565960, 999007
1780070274688566940, 1000980
1780070274689566949, 1000009
1780070274690567028, 1000079
1780070274691566976, 999948
1780070274692566794, 999818
1780070274693566492, 999698
1780070274694566711, 1000219
1780070274695566640, 999929
1780070274696562701, 996061
1780070274697564242, 1001541
1780070274699578877, 2014635
1780070274701577522, 1998645
1780070274704221522, 2644000
1780070274704360071, 138549
1780070274704566938, 206867
1780070274705579931, 1012993
